영역,유형,표준점수,남자,여자
국어,국어,139,761,516
국어,국어,136,1238,909
국어,국어,135,898,618
국어,국어,134,1184,908
국어,국어,133,2169,1591
국어,국어,132,1410,1105
국어,국어,131,2653,2194
국어,국어,130,2167,1805
국어,국어,129,2900,2396
국어,국어,128,3033,2744
국어,국어,127,3135,2761
국어,국어,126,3917,3504
국어,국어,125,3507,3151
국어,국어,124,4253,4182
국어,국어,123,3880,3791
국어,국어,122,4506,4719
국어,국어,121,4495,4401
국어,국어,120,4777,5127
국어,국어,119,4725,5086
국어,국어,118,5027,5404
국어,국어,117,5109,5607
국어,국어,116,5161,5801
국어,국어,114,5475,5996
국어,국어,113,5306,5989
국어,국어,112,5494,6321
국어,국어,111,5419,6150
국어,국어,110,5628,6547
국어,국어,109,5476,6272
국어,국어,108,5482,6543
국어,국어,107,5568,6319
국어,국어,106,5413,6296
국어,국어,105,5396,6301
국어,국어,104,5152,6061
국어,국어,103,5327,6087
국어,국어,102,5229,5836
국어,국어,101,5034,5811
국어,국어,100,5013,5615
국어,국어,99,4900,5396
국어,국어,98,4941,5232
국어,국어,97,4632,5020
국어,국어,96,4550,4925
국어,국어,95,4455,4626
국어,국어,94,4359,4386
국어,국어,92,4332,4305
국어,국어,91,4184,4151
국어,국어,90,3944,3961
국어,국어,89,3921,3704
국어,국어,88,3801,3519
국어,국어,87,3625,3437
국어,국어,86,3470,3276
국어,국어,85,3311,3045
국어,국어,84,3397,3096
국어,국어,83,3255,2763
국어,국어,82,3066,2684
국어,국어,81,3056,2559
국어,국어,80,2999,2450
국어,국어,79,2830,2301
국어,국어,78,2848,2223
국어,국어,77,2720,2117
국어,국어,76,2572,2063
국어,국어,75,2599,1951
국어,국어,74,2480,1736
국어,국어,73,2390,1801
국어,국어,72,2332,1596
국어,국어,70,2208,1558
국어,국어,69,2111,1491
국어,국어,68,2028,1427
국어,국어,67,2125,1258
국어,국어,66,2095,1319
국어,국어,65,1872,1238
국어,국어,64,1764,1185
국어,국어,63,1826,1112
국어,국어,62,1789,1028
국어,국어,61,2052,1162
국어,국어,60,1532,931
국어,국어,59,1475,820
국어,국어,58,1377,797
국어,국어,57,1199,684
국어,국어,56,1383,701
국어,국어,55,1068,569
국어,국어,54,2358,859
국어,국어,53,869,452
국어,국어,52,783,395
국어,국어,51,652,340
국어,국어,50,600,291
국어,국어,48,565,301
국어,국어,47,325,150
국어,국어,46,251,139
국어,국어,45,180,101
국어,국어,44,238,123
국어,국어,43,82,69
국어,국어,42,86,56
국어,국어,41,40,48
국어,국어,40,41,33
국어,국어,39,30,17
국어,국어,38,29,30
국어,국어,37,9,11
국어,국어,36,31,40
국어,국어,34,137,90
수학,수학 가형,130,116,17
수학,수학 가형,129,1,0
수학,수학 가형,128,9,2
수학,수학 가형,127,2779,640
수학,수학 가형,126,6,3
수학,수학 가형,125,206,52
수학,수학 가형,124,6449,2168
수학,수학 가형,122,887,259
수학,수학 가형,121,9452,3940
수학,수학 가형,120,5,4
수학,수학 가형,119,160,50
수학,수학 가형,118,1917,707
수학,수학 가형,117,9875,4833
수학,수학 가형,116,361,149
수학,수학 가형,115,2919,1248
수학,수학 가형,114,7897,4511
수학,수학 가형,113,753,316
수학,수학 가형,112,3228,1630
수학,수학 가형,111,5675,3573
수학,수학 가형,110,192,77
수학,수학 가형,109,1081,516
수학,수학 가형,108,6671,4213
수학,수학 가형,107,369,137
수학,수학 가형,106,1329,639
수학,수학 가형,105,2601,1645
수학,수학 가형,104,2510,1682
수학,수학 가형,103,1434,780
수학,수학 가형,102,1980,1289
수학,수학 가형,101,1058,787
수학,수학 가형,100,2052,1273
수학,수학 가형,99,1338,918
수학,수학 가형,98,744,501
수학,수학 가형,97,895,497
수학,수학 가형,96,1198,797
수학,수학 가형,95,1560,1051
수학,수학 가형,94,949,570
수학,수학 가형,93,941,607
수학,수학 가형,92,678,425
수학,수학 가형,91,1696,995
수학,수학 가형,90,687,498
수학,수학 가형,89,702,396
수학,수학 가형,88,843,507
수학,수학 가형,87,1374,897
수학,수학 가형,86,767,408
수학,수학 가형,85,758,484
수학,수학 가형,84,652,433
수학,수학 가형,83,691,404
수학,수학 가형,82,1426,886
수학,수학 가형,81,677,383
수학,수학 가형,80,777,485
수학,수학 가형,79,671,467
수학,수학 가형,78,1421,821
수학,수학 가형,77,666,402
수학,수학 가형,76,663,409
수학,수학 가형,75,736,462
수학,수학 가형,74,1424,776
수학,수학 가형,73,753,411
수학,수학 가형,72,805,459
수학,수학 가형,71,726,442
수학,수학 가형,70,781,423
수학,수학 가형,69,1600,876
수학,수학 가형,68,804,433
수학,수학 가형,67,831,437
수학,수학 가형,66,818,452
수학,수학 가형,65,1838,927
수학,수학 가형,64,783,408
수학,수학 가형,63,1317,592
수학,수학 가형,62,862,409
수학,수학 가형,61,803,392
수학,수학 가형,60,2390,970
수학,수학 가형,59,546,265
수학,수학 가형,58,614,278
수학,수학 가형,57,550,253
수학,수학 가형,56,615,319
수학,수학 가형,55,278,151
수학,수학 가형,54,225,117
수학,수학 가형,53,101,38
수학,수학 가형,52,221,95
수학,수학 가형,51,39,12
수학,수학 가형,49,126,37
수학,수학 나형,137,320,214
수학,수학 나형,135,1,1
수학,수학 나형,134,2121,1744
수학,수학 나형,132,6,3
수학,수학 나형,131,6134,5837
수학,수학 나형,130,3,2
수학,수학 나형,129,45,35
수학,수학 나형,128,8583,9501
수학,수학 나형,127,5,11
수학,수학 나형,126,116,153
수학,수학 나형,125,1315,1587
수학,수학 나형,124,6804,8888
수학,수학 나형,123,270,314
수학,수학 나형,122,2013,2484
수학,수학 나형,121,5230,7637
수학,수학 나형,120,520,579
수학,수학 나형,119,2423,3318
수학,수학 나형,118,4120,5902
수학,수학 나형,117,992,1271
수학,수학 나형,116,2818,3857
수학,수학 나형,115,3220,4490
수학,수학 나형,114,1560,2068
수학,수학 나형,113,3101,4279
수학,수학 나형,112,2234,3155
수학,수학 나형,111,556,677
수학,수학 나형,110,4973,6569
수학,수학 나형,109,1529,2048
수학,수학 나형,108,1081,1315
수학,수학 나형,107,5043,6257
수학,수학 나형,106,1115,1534
수학,수학 나형,105,1710,2140
수학,수학 나형,104,4281,5416
수학,수학 나형,103,1201,1641
수학,수학 나형,102,2057,2460
수학,수학 나형,101,2106,2468
수학,수학 나형,100,2887,3545
수학,수학 나형,99,2024,2345
수학,수학 나형,98,1552,1943
수학,수학 나형,97,3105,3769
수학,수학 나형,96,1550,1939
수학,수학 나형,95,1334,1654
수학,수학 나형,94,1496,1739
수학,수학 나형,93,2826,3436
수학,수학 나형,92,1272,1660
수학,수학 나형,91,1417,1762
수학,수학 나형,90,2562,3177
수학,수학 나형,89,1334,1727
수학,수학 나형,88,1315,1632
수학,수학 나형,87,2571,3306
수학,수학 나형,86,1275,1747
수학,수학 나형,85,1312,1618
수학,수학 나형,84,1382,1755
수학,수학 나형,83,2597,3504
수학,수학 나형,82,1411,1887
수학,수학 나형,81,1471,1842
수학,수학 나형,80,3046,3944
수학,수학 나형,79,1508,2037
수학,수학 나형,78,1760,2312
수학,수학 나형,77,1729,2198
수학,수학 나형,76,3908,4813
수학,수학 나형,75,1881,2306
수학,수학 나형,74,2407,2618
수학,수학 나형,73,4492,4888
수학,수학 나형,72,1888,2210
수학,수학 나형,71,2222,2604
수학,수학 나형,70,3777,4041
수학,수학 나형,69,4155,3444
수학,수학 나형,68,1095,1244
수학,수학 나형,67,1694,1521
수학,수학 나형,66,1556,1661
수학,수학 나형,65,664,655
수학,수학 나형,64,471,497
수학,수학 나형,63,456,501
수학,수학 나형,62,268,262
수학,수학 나형,61,79,88
수학,수학 나형,59,199,208
영어,영어,139,2017,1934
영어,영어,137,808,656
영어,영어,136,3668,3281
영어,영어,135,279,193
영어,영어,134,2171,1863
영어,영어,133,3714,3660
영어,영어,132,1071,918
영어,영어,131,3204,3066
영어,영어,129,3131,3087
영어,영어,128,2217,1929
영어,영어,127,3678,3457
영어,영어,126,2851,2796
영어,영어,125,3345,2888
영어,영어,124,3455,3338
영어,영어,123,3208,2978
영어,영어,122,3819,3592
영어,영어,121,3461,3380
영어,영어,120,3939,3643
영어,영어,119,3816,3797
영어,영어,118,3948,3968
영어,영어,117,4174,4204
영어,영어,115,4288,4443
영어,영어,114,4613,4624
영어,영어,113,4638,4859
영어,영어,112,4937,5245
영어,영어,111,5052,5381
영어,영어,110,5320,5740
영어,영어,109,5660,5842
영어,영어,108,5707,6122
영어,영어,107,5940,6551
영어,영어,106,6004,6518
영어,영어,105,6338,6735
영어,영어,104,6055,6608
영어,영어,103,6508,7052
영어,영어,101,6190,6662
영어,영어,100,6427,6824
영어,영어,99,5972,6547
영어,영어,98,6009,6237
영어,영어,97,5925,6269
영어,영어,96,5613,5744
영어,영어,95,5728,5640
영어,영어,94,5057,5055
영어,영어,93,5258,5154
영어,영어,92,4550,4663
영어,영어,91,4605,4664
영어,영어,90,4375,4253
영어,영어,89,4191,4029
영어,영어,88,3876,3859
영어,영어,86,3677,3636
영어,영어,85,3657,3468
영어,영어,84,3447,3251
영어,영어,83,3358,3127
영어,영어,82,3046,2937
영어,영어,81,3078,2771
영어,영어,80,2835,2688
영어,영어,79,2733,2560
영어,영어,78,2583,2435
영어,영어,77,2440,2295
영어,영어,76,2345,2234
영어,영어,75,2249,2009
영어,영어,74,2186,1897
영어,영어,72,2053,1748
영어,영어,71,1982,1694
영어,영어,70,1941,1602
영어,영어,69,1875,1572
영어,영어,68,1764,1344
영어,영어,67,1869,1352
영어,영어,66,1599,1250
영어,영어,65,1762,1235
영어,영어,64,1524,1079
영어,영어,63,1626,1058
영어,영어,62,1378,892
영어,영어,61,1515,963
영어,영어,60,1264,730
영어,영어,58,1362,756
영어,영어,57,1358,716
영어,영어,56,1253,641
영어,영어,55,958,496
영어,영어,54,1797,733
영어,영어,53,926,427
영어,영어,52,1447,504
영어,영어,51,822,362
영어,영어,50,1345,457
영어,영어,49,453,192
영어,영어,48,364,158
영어,영어,47,306,118
영어,영어,46,236,78
영어,영어,44,160,104
영어,영어,43,126,68
영어,영어,42,122,71
영어,영어,41,55,36
영어,영어,40,62,43
영어,영어,39,35,29
영어,영어,38,31,23
영어,영어,37,29,25
영어,영어,36,10,15
영어,영어,35,12,20
영어,영어,34,25,21
영어,영어,32,157,77
사회탐구,생활과 윤리,65,1942,3015
사회탐구,생활과 윤리,63,3921,8054
사회탐구,생활과 윤리,62,366,681
사회탐구,생활과 윤리,61,2456,4867
사회탐구,생활과 윤리,60,2265,5557
사회탐구,생활과 윤리,59,1375,2588
사회탐구,생활과 윤리,58,2723,6039
사회탐구,생활과 윤리,57,1513,3184
사회탐구,생활과 윤리,56,4314,8698
사회탐구,생활과 윤리,55,1670,3522
사회탐구,생활과 윤리,54,2184,4604
사회탐구,생활과 윤리,53,1688,3362
사회탐구,생활과 윤리,52,1977,3884
사회탐구,생활과 윤리,51,1759,3502
사회탐구,생활과 윤리,50,1687,3237
사회탐구,생활과 윤리,49,3082,6057
사회탐구,생활과 윤리,48,1551,2925
사회탐구,생활과 윤리,47,1296,2517
사회탐구,생활과 윤리,46,1380,2436
사회탐구,생활과 윤리,45,1236,2263
사회탐구,생활과 윤리,44,1127,2029
사회탐구,생활과 윤리,43,1156,2060
사회탐구,생활과 윤리,42,2103,3370
사회탐구,생활과 윤리,41,956,1676
사회탐구,생활과 윤리,40,938,1518
사회탐구,생활과 윤리,39,988,1475
사회탐구,생활과 윤리,38,860,1298
사회탐구,생활과 윤리,37,958,1409
사회탐구,생활과 윤리,36,949,1255
사회탐구,생활과 윤리,35,2046,2425
사회탐구,생활과 윤리,34,835,997
사회탐구,생활과 윤리,33,1047,1119
사회탐구,생활과 윤리,32,1952,1591
사회탐구,생활과 윤리,31,699,775
사회탐구,생활과 윤리,30,948,969
사회탐구,생활과 윤리,29,530,480
사회탐구,생활과 윤리,28,1450,1321
사회탐구,생활과 윤리,27,211,188
사회탐구,생활과 윤리,26,247,268
사회탐구,생활과 윤리,25,92,82
사회탐구,생활과 윤리,24,89,92
사회탐구,생활과 윤리,23,76,76
사회탐구,생활과 윤리,21,66,80
사회탐구,윤리와 사상,66,162,282
사회탐구,윤리와 사상,64,897,1697
사회탐구,윤리와 사상,63,472,967
사회탐구,윤리와 사상,62,988,1596
사회탐구,윤리와 사상,61,104,242
사회탐구,윤리와 사상,60,959,1865
사회탐구,윤리와 사상,59,181,351
사회탐구,윤리와 사상,58,429,773
사회탐구,윤리와 사상,57,504,854
사회탐구,윤리와 사상,56,287,585
사회탐구,윤리와 사상,55,161,338
사회탐구,윤리와 사상,54,436,845
사회탐구,윤리와 사상,53,177,368
사회탐구,윤리와 사상,52,222,464
사회탐구,윤리와 사상,51,379,806
사회탐구,윤리와 사상,50,168,423
사회탐구,윤리와 사상,49,428,908
사회탐구,윤리와 사상,48,239,396
사회탐구,윤리와 사상,47,231,497
사회탐구,윤리와 사상,46,514,947
사회탐구,윤리와 사상,45,295,548
사회탐구,윤리와 사상,44,261,477
사회탐구,윤리와 사상,43,706,1055
사회탐구,윤리와 사상,42,335,540
사회탐구,윤리와 사상,41,429,632
사회탐구,윤리와 사상,40,1000,1182
사회탐구,윤리와 사상,39,347,500
사회탐구,윤리와 사상,38,334,420
