영역,유형,표준점수,남자,여자
국어,국어,139,310,211
국어,국어,138,795,606
국어,국어,137,263,168
국어,국어,136,1271,987
국어,국어,135,776,603
국어,국어,134,1438,1273
국어,국어,133,1346,1287
국어,국어,132,1675,1553
국어,국어,131,2108,1958
국어,국어,130,1990,1821
국어,국어,129,2657,2546
국어,국어,128,2352,2051
국어,국어,127,3085,3098
국어,국어,126,2727,2655
국어,국어,125,6453,6649
국어,국어,124,3531,3618
국어,국어,123,3591,3790
국어,국어,122,3467,3898
국어,국어,121,3906,4526
국어,국어,120,3758,4212
국어,국어,119,4150,4792
국어,국어,118,3938,4450
국어,국어,117,4460,5359
국어,국어,116,4020,4936
국어,국어,115,4482,5322
국어,국어,114,4258,5105
국어,국어,113,8868,10509
국어,국어,112,4483,5327
국어,국어,111,4749,5564
국어,국어,110,4435,5272
국어,국어,109,4654,5587
국어,국어,108,4383,5204
국어,국어,107,4733,5568
국어,국어,106,4351,5187
국어,국어,105,4514,5150
국어,국어,104,4346,4969
국어,국어,103,4508,4994
국어,국어,102,4326,4940
국어,국어,101,4272,4701
국어,국어,100,8307,9191
국어,국어,99,4066,4355
국어,국어,98,3817,4067
국어,국어,97,3882,4065
국어,국어,96,3674,3927
국어,국어,95,3659,3828
국어,국어,94,3538,3700
국어,국어,93,3415,3635
국어,국어,92,3327,3494
국어,국어,91,3115,3195
국어,국어,90,3076,3093
국어,국어,89,2908,3027
국어,국어,88,2865,2911
국어,국어,87,5486,5433
국어,국어,86,2620,2504
국어,국어,85,2523,2413
국어,국어,84,2517,2299
국어,국어,83,2368,2202
국어,국어,82,2362,2173
국어,국어,81,2292,2055
국어,국어,80,2174,2074
국어,국어,79,2264,2011
국어,국어,78,2143,1873
국어,국어,77,2313,1982
국어,국어,76,2079,1798
국어,국어,75,2605,2059
국어,국어,74,4736,3788
국어,국어,73,2545,1828
국어,국어,72,2393,1814
국어,국어,71,4400,2512
국어,국어,70,2240,1567
국어,국어,69,2368,1629
국어,국어,68,2255,1477
국어,국어,67,2467,1638
국어,국어,66,2161,1370
국어,국어,65,2772,1614
국어,국어,64,2324,1337
국어,국어,63,2664,1447
국어,국어,62,1814,1033
국어,국어,61,9234,3789
국어,국어,60,1078,613
국어,국어,59,1109,561
국어,국어,58,1377,680
국어,국어,57,567,304
국어,국어,56,470,254
국어,국어,55,259,138
국어,국어,54,246,132
국어,국어,53,99,47
국어,국어,52,98,61
국어,국어,51,31,8
국어,국어,50,87,46
국어,국어,49,60,29
국어,국어,47,626,212
수학,수학 가형,124,2772,861
수학,수학 가형,122,176,42
수학,수학 가형,121,8394,3166
수학,수학 가형,120,1,0
수학,수학 가형,119,80,23
수학,수학 가형,118,13521,6209
수학,수학 가형,117,20,6
수학,수학 가형,116,348,115
수학,수학 가형,115,14059,7608
수학,수학 가형,114,92,34
수학,수학 가형,113,610,304
수학,수학 가형,112,3111,1825
수학,수학 가형,111,7650,4394
수학,수학 가형,110,771,441
수학,수학 가형,109,3055,1859
수학,수학 가형,108,4542,2811
수학,수학 가형,107,1275,650
수학,수학 가형,106,2758,1814
수학,수학 가형,105,2816,1745
수학,수학 가형,104,1530,905
수학,수학 가형,103,2354,1514
수학,수학 가형,102,1640,1042
수학,수학 가형,101,504,278
수학,수학 가형,100,3037,1968
수학,수학 가형,99,921,607
수학,수학 가형,98,650,343
수학,수학 가형,97,1326,821
수학,수학 가형,96,1795,1164
수학,수학 가형,95,789,484
수학,수학 가형,94,1060,727
수학,수학 가형,93,1317,819
수학,수학 가형,92,810,524
수학,수학 가형,91,784,517
수학,수학 가형,90,518,321
수학,수학 가형,89,1307,769
수학,수학 가형,88,509,329
수학,수학 가형,87,431,303
수학,수학 가형,86,589,395
수학,수학 가형,85,965,689
수학,수학 가형,84,465,328
수학,수학 가형,83,533,343
수학,수학 가형,82,844,566
수학,수학 가형,81,493,327
수학,수학 가형,80,461,306
수학,수학 가형,79,386,257
수학,수학 가형,78,923,575
수학,수학 가형,77,368,246
수학,수학 가형,76,441,288
수학,수학 가형,75,460,298
수학,수학 가형,74,792,533
수학,수학 가형,73,473,264
수학,수학 가형,72,427,267
수학,수학 가형,71,941,593
수학,수학 가형,70,465,281
수학,수학 가형,69,469,293
수학,수학 가형,68,549,330
수학,수학 가형,67,1039,602
수학,수학 가형,66,559,320
수학,수학 가형,65,558,304
수학,수학 가형,64,625,298
수학,수학 가형,63,1301,615
수학,수학 가형,62,680,288
수학,수학 가형,61,818,372
수학,수학 가형,60,1576,639
수학,수학 가형,59,715,259
수학,수학 가형,58,2448,562
수학,수학 가형,57,611,189
수학,수학 가형,56,2139,603
수학,수학 가형,55,753,203
수학,수학 가형,54,405,127
수학,수학 가형,53,387,133
수학,수학 가형,52,418,135
수학,수학 가형,51,243,70
수학,수학 가형,50,164,51
수학,수학 가형,49,84,29
수학,수학 가형,48,148,39
수학,수학 가형,47,31,4
수학,수학 가형,45,232,43
수학,수학 나형,136,381,161
수학,수학 나형,133,4952,4678
수학,수학 나형,131,277,286
수학,수학 나형,130,5973,7926
수학,수학 나형,129,1,1
수학,수학 나형,128,594,695
수학,수학 나형,127,6191,8927
수학,수학 나형,126,82,103
수학,수학 나형,125,861,1088
수학,수학 나형,124,5870,9078
수학,수학 나형,123,133,198
수학,수학 나형,122,1324,1723
수학,수학 나형,121,5610,8857
수학,수학 나형,120,245,340
수학,수학 나형,119,1720,2516
수학,수학 나형,118,5450,8060
수학,수학 나형,117,462,699
수학,수학 나형,116,6655,9247
수학,수학 나형,115,136,200
수학,수학 나형,114,882,1249
수학,수학 나형,113,5419,7154
수학,수학 나형,112,380,473
수학,수학 나형,111,3813,5139
수학,수학 나형,110,1419,1719
수학,수학 나형,109,740,977
수학,수학 나형,108,3506,4415
수학,수학 나형,107,936,1056
수학,수학 나형,106,2925,3615
수학,수학 나형,105,1166,1443
수학,수학 나형,104,2382,3072
수학,수학 나형,103,1361,1592
수학,수학 나형,102,883,1140
수학,수학 나형,101,2517,3241
수학,수학 나형,100,898,1215
수학,수학 나형,99,2445,3191
수학,수학 나형,98,1024,1347
수학,수학 나형,97,978,1226
수학,수학 나형,96,2377,3165
수학,수학 나형,95,964,1211
수학,수학 나형,94,2460,3222
수학,수학 나형,93,982,1296
수학,수학 나형,92,1226,1598
수학,수학 나형,91,2202,3044
수학,수학 나형,90,1217,1657
수학,수학 나형,89,2497,3380
수학,수학 나형,88,1266,1651
수학,수학 나형,87,1378,1991
수학,수학 나형,86,2549,3595
수학,수학 나형,85,1461,2108
수학,수학 나형,84,2871,4225
수학,수학 나형,83,1619,2268
수학,수학 나형,82,1822,2618
수학,수학 나형,81,3311,4894
수학,수학 나형,80,2122,2820
수학,수학 나형,79,3955,5580
수학,수학 나형,78,2649,3328
수학,수학 나형,77,2274,2942
수학,수학 나형,76,6517,7583
수학,수학 나형,75,2379,3041
수학,수학 나형,74,7468,7615
수학,수학 나형,73,8087,6244
수학,수학 나형,72,1195,1329
수학,수학 나형,71,2557,2992
수학,수학 나형,70,708,724
수학,수학 나형,69,1264,1359
수학,수학 나형,68,307,385
수학,수학 나형,67,550,442
수학,수학 나형,66,130,156
수학,수학 나형,64,449,296
영어,영어,129,6764,6570
영어,영어,128,3371,3009
영어,영어,127,6272,6097
영어,영어,126,1134,952
영어,영어,125,5663,5251
영어,영어,124,7253,6982
영어,영어,123,5666,5618
영어,영어,122,3288,3072
영어,영어,121,4634,4675
영어,영어,120,8284,8460
영어,영어,119,4947,5178
영어,영어,118,3898,4100
영어,영어,117,4303,4365
영어,영어,116,8454,8732
영어,영어,115,4474,4827
영어,영어,114,4122,4273
영어,영어,113,4373,4678
영어,영어,112,8509,9032
영어,영어,111,4280,4666
영어,영어,110,4112,4487
영어,영어,109,4296,4748
영어,영어,108,4170,4541
